Bölge;m² (Brüt);Oda Sayısı;Fiyat;Mahalle
Adalar;100;2+1;11.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;90;2+1;14.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;140;3+1;10.500.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;75;2+1;5.750.000 TL;"Büyükada
Maden Mh."
Adalar;144;4+1;13.500.000 TL;"Büyükada
Maden Mh."
Adalar;190;4+1;13.500.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;115;3+1;16.800.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;120;3+1;17.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;140;3+1;12.990.000 TL;"Büyükada
Nizam Mh."
Adalar;120;3+1;10.900.000 TL;"Büyükada
Nizam Mh."
Adalar;85;2+1;6.300.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;130;3+1;13.600.000 TL;Heybeliada
Adalar;125;2+1;5.499.999 TL;"Kınalıada
Kınalıada Mh."
Adalar;70;1.5+1;5.440.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;50;2+1;4.900.000 TL;Heybeliada
Adalar;;;;
Adalar;120;3+1;20.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;120;3+1;14.280.000 TL;"Büyükada
Nizam Mh."
Adalar;180;3+1;11.000.000 TL;"Büyükada
Maden Mh."
Adalar;131;3+1;8.900.000 TL;"Büyükada
Maden Mh."
Adalar;100;3+1;9.000.000 TL;"Büyükada
Nizam Mh."
Adalar;120;3+1;8.700.000 TL;"Büyükada
Maden Mh."
Adalar;88;3+1;5.500.000 TL;Heybeliada
Adalar;200;4+1;15.400.000 TL;"Büyükada
Nizam Mh."
Adalar;100;2+1;12.000.000 TL;"Burgazada
Burgazada Mh."
Adalar;150;3+1;8.250.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;140;3+2;9.000.000 TL;Heybeliada
Adalar;150;2+1;18.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;115;2+1;4.200.000 TL;"Büyükada
Maden Mh."
Adalar;145;4+1;13.300.000 TL;"Büyükada
Maden Mh."
Adalar;110;2+2;6.550.000 TL;Heybeliada
Adalar;88;2+1;6.000.000 TL;"Büyükada
Nizam Mh."
Adalar;60;3+0;4.500.000 TL;Heybeliada
Adalar;250;4+1;20.000.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;160;3+1;7.990.000 TL;"Burgazada
Burgazada Mh."
Adalar;200;6+2;21.000.000 TL;"Büyükada
Maden Mh."
Adalar;240;2+1;6.500.000 TL;"Büyükada
Nizam Mh."
Adalar;120;3+1;9.500.000 TL;"Büyükada
Nizam Mh."
Adalar;198;4+1;8.240.000 TL;Heybeliada
Adalar;90;2+1;7.500.000 TL;"Büyükada
Maden Mh."
Adalar;110;2+1;4.500.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;120;3+1;7.200.000 TL;Heybeliada
Adalar;145;3+1;12.600.000 TL;"Büyükada
Nizam Mh."
Adalar;135;3+1;8.000.000 TL;"Büyükada
Nizam Mh."
Adalar;150;4+1;15.000.000 TL;"Büyükada
Maden Mh."
Adalar;160;3+1;17.850.000 TL;"Büyükada
Maden Mh."
Adalar;70;2+1;5.000.000 TL;"Burgazada
Burgazada Mh."
Adalar;80;2+1;7.250.000 TL;"Kınalıada
Kınalıada Mh."
Adalar;90;3+1;5.750.000 TL;"Burgazada
Burgazada Mh."
Adalar;132;4.5+1;12.400.000 TL;"Büyükada
Maden Mh."
Adalar;220;3+1;10.500.000 TL;Heybeliada
Arnavutkoy;85;2+1;3.590.000 TL;"Haraççı
Karlıbayır Mh."
Arnavutkoy;175;4+2;4.600.000 TL;"Arnavutköy
Anadolu Mah."
Arnavutkoy;150;3+2;4.250.000 TL;"Arnavutköy
Anadolu Mah."
